"Source:","N:\Vintage\Projects\TI99_22\unicornboard\unicorn\unicorn.kicad_sch"
"Date:","4/13/2024 9:08:00 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","J1","UNICORN PORT","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"","","U1","HV-LV","CUSTOM_CPU:HV-LV","WernerCustomLibrary:HV-LV",""
"","","U2","HV-LV","CUSTOM_CPU:HV-LV","WernerCustomLibrary:HV-LV",""
"","","U3","HV-LV","CUSTOM_CPU:HV-LV","WernerCustomLibrary:HV-LV",""
"","","U4","HV-LV","CUSTOM_CPU:HV-LV","WernerCustomLibrary:HV-LV",""
"","","U5","ESP32_MODULE","CUSTOM_CPU:ESP32_MODULE","WernerCustomLibrary:ESP32_DEVKIT_30",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"2","1","J1","UNICORN PORT","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"3","4","U1, U2, U3, U4","HV-LV","CUSTOM_CPU:HV-LV","WernerCustomLibrary:HV-LV",""
"4","1","U5","ESP32_MODULE","CUSTOM_CPU:ESP32_MODULE","WernerCustomLibrary:ESP32_DEVKIT_30",""
